Name,Url,Telephone,AddressLocality,Latitude,Longitude,attraction_type
Civic Theatre,http://www.civictheatre.ie,+353(0)14627477,Tallaght,53.288410999999996,-6.372209,theatre
Contemporary Music Centre,http://www.cmc.ie,+353(0)16731922,Dublin City,53.344173,-6.269532,music
Dublin Mini Coaches & Chauffeur Drive,http://www.dublinminicoaches.com/,+353(0)1861780049,Dublin City,53.330439,-6.348237999999999,other
Dualway Coaches,http://www.dualwaycoaches.com,+353(0)14580054,Rathcoole,53.277615000000004,-6.491218,other
Dublin Garden Group,http://www.dublingardens.com,+353(0)12832934,Blackrock,53.298931,-6.189413,garden
Dublin Literary Pub Crawl,http://www.dublinpubcrawl.com,+353(0)16705602,Dublin City,53.34383199999999,-6.260692,pub
Dublin Zoo,http://www.dublinzoo.ie,+353(0)14748900,Dublin City,53.355024,-6.304145,other
Dublinia,http://www.dublinia.ie,+353(0)16794611,Dublin City,53.34312274391829,-6.27200028587913,other
Eirebus Ltd,http://www.eirebus.ie,+353(0)18242626,Dublin City,53.414193999999995,-6.3597779999999995,other
Emerald Cultural Institute,http://www.eci.ie,+353(0)14973361,Dublin City,53.313638,-6.259107,other
Enterprise Rent-A-Car,http://www.enterprise.ie,+353(0)14290200,Dublin City,53.32465500000001,-6.347867,rent
Gate Theatre,http://www.gate-theatre.ie,+353(0)18744045,Dublin City,53.35304,-6.262278,theatre
Hidden Ireland,http://www.hiddenireland.com,+353(0)9866650,Dublin City,53.388836974758505,-6.30047646499663,other
International House Dublin,http://www.ihdublin.com,+353(0)16355850,Dublin City,53.334731999999995,-6.265528,house
The Horner School Of English,http://www.hornerschool.ie,+353(0)16622911,Dublin City,53.336484999999996,-6.249128,school
The Gaiety Theatre,http://www.gaietytheatre.ie,+353(0)16771717,Dublin City,53.340387,-6.26163,theatre
Irish Education Partners,http://www.iepartners.ie,+353(0)18550019,Dublin City,53.349897999999996,-6.253597,art
Irish Jewish Museum,http://www.jewishmuseum.ie/,+353(0)14531797,South Circular Road,53.330748,-6.269414,museum
Irish Welcome Tours,http://www.irishwelcometours.com,+353(0)12933000,Sandyford,53.275544999999994,-6.2159830000000005,tour
Irish College of English,http://www.iceireland.com,+353(0)18453744,Malahide,53.450155,-6.153319000000001,english
The James Joyce Centre,http://www.jamesjoyce.ie,+353(0)18788547,Dublin City,53.354156999999994,-6.259988,other
Croke Park Stadium,http://crokepark.ie/gaamuseum,+353(0)18192300,Dublin City,53.361245,-6.252428,park
Kilmainham Gaol,http://kilmainhamgaolmuseum.ie/,+353(0)14535984,Dublin City,53.3418898820564,-6.30978111045078,other
Language Learning International,http://www.lli.ie,+353(0)12143314,Blackrock,53.289680000000004,-6.1314839999999995,other
Leopardstown Racecourse,http://leopardstown.com,+353(0)12890500,Leopardstown,53.265657999999995,-6.1946129999999995,other
The Linguaviva Centre,http://www.linguaviva.com,+353(0)16789384,Dublin City,53.332969999999996,-6.254029,other
Malahide Marina Village Ltd,,+353(0)18454129,Malahide,53.4558,-6.1542699999999995,other
Dollar Thrifty Car Rental,http://www.thrifty.ie,+353(0)16687566,Dublin City,53.337422629764205,-6.23401799450687,rent
Marsh's Library,http://www.marshlibrary.ie,+353(0)14543511,Dublin City,53.339197,-6.270589,library
Abbey Theatre,http://www.abbeytheatre.ie,+353(0)18787222,Dublin City,53.34854,-6.2571069999999995,theatre
National Concert Hall,http://www.nch.ie,+353(0)14170000,Dublin City,53.334605,-6.259218,concert
National Gallery of Ireland,http://www.nationalgallery.ie,+353(0)16325133,Dublin City,53.340892000000004,-6.252491,gallery
National Photographic Archive,http://www.nli.ie,+353(0)16030200,Temple Bar,53.345183373571,-6.265378635582009,other
National Print Museum,http://www.nationalprintmuseum.ie,+353(0)16603770,Haddington Road,53.335167000000006,-6.235386,museum
Olympia Theatre,http://www.olympia.ie,+353(0)16793323,Dublin City,53.344313,-6.2660800000000005,theatre
Black Church Print Studio,http://www.print.ie,+353(0)16773629,Dublin City,53.345634999999994,-6.264056,church
Pavilion Theatre,http://www.paviliontheatre.ie,+353(0)12312929,Dún Laoghaire,53.293902,-6.133533,theatre
Royal Hibernian Academy,http://www.rhagallery.ie,+353(0)16612558,15 Ely Place,53.3370711953088,-6.25470687235258,academy
St Patrick's Cathedral,http://www.stpatrickscathedral.ie,+353(0)14539472,Dublin City,53.339543000000006,-6.27157,cathedral
Stena Line,http://www.stenaline.co.uk,+353(0)19075555,Dublin City,53.349617,-6.1974,other
The Sugar Club,http://www.thesugarclub.com,+353(0)16787188,Dublin City,53.335498,-6.256638,club
Temple Bar Cultural Trust and Temple Bar Cultural Information Centre,http://www.templebar.ie,+353(0)16772255,Dublin City,53.345328,-6.265743,bar
Temple Bar Gallery and Studios,http://www.templebargallery.com,+353(0)16710073,Dublin City,53.345631000000004,-6.263577,bar
Ambassador Theatre,,+353(0)0818333773,Dublin City,53.352709,-6.261968,theatre
Peacock Theatre,http://www.abbeytheatre.ie,+353(0)18787222,Dublin City,53.34854,-6.2571069999999995,theatre
The Spire,,,Dublin City,53.350921,-6.260294,other
Garden of Remembrance,http://www.heritageireland.ie/en/dublin/gardenofremembrance/,+353(0)18213021,Dublin City,53.35393596283111,-6.264127138900791,garden
General Post Office,http://www.anpost.ie/AnPost/History+and+Heritage/History/GPO+Dublin/,+353(0)17057000,Dublin City,53.349332999999994,-6.260654,other
Ha'penny Bridge,,,Dublin City Centre,53.346306999999996,-6.263081,other
Merrion Square,,+353(0)16612369,Dublin City,53.3388,-6.25002,other
Mansion House,http://www.lordmayordublin.ie,+353(0)12226200,Dublin City,53.340317000000006,-6.257726,house
Leinster House,http://www.oireachtas.ie/parliament/visitsevents/,+353(0)16183271,Dublin City,53.340121999999994,-6.254251999999999,house
Iveagh Gardens,http://www.heritageireland.ie/en/dublin/theiveaghgardens/,+353(0)14757816,Dublin City,53.335531607895604,-6.26077042291262,garden
St Ann's Church,http://www.stannschurch.ie,+353(0)16767727,Dublin City,53.341089000000004,-6.257889,church
St. Audoen's Church,http://www.heritageireland.ie/en/dublin/staudoenschurch/,+353(0)16770088,Dublin City,53.343796,-6.273575,church
War Memorial Gardens,http://www.heritageireland.ie/en/dublin/warmemorialgardens/,+353(0)14757816,Islandbridge,53.334912,-6.292519,memorial
St. Mary's Pro Cathedral,http://www.procathedral.ie,+353(0)18745441,Dublin City,53.351138,-6.258885,cathedral
Christ Church Cathedral,http://christchurchcathedral.ie/,+353(0)16778099,Dublin City,53.343458999999996,-6.271123,church
Dublin Writers Museum,http://www.writersmuseum.com,+353(0)18722077,Dublin City,53.354366000000006,-6.263985,museum
Croke Park Stadium Tour and GAA Museum,http://crokepark.ie/gaa-museum-tours/stadium-tours,+353(0)18192323,Dublin City,53.360566000000006,-6.2518519999999995,park
National Botanic Gardens,http://www.botanicgardens.ie/,+353(0)18040300,Dublin City,53.3726543450805,-6.271858190490769,garden
James Joyce Museum,,+353(0)12809265,Sandycove,53.288633999999995,-6.113658,museum
Pearse Museum and St. Enda's Park,http://www.heritageireland.ie/en/dublin/pearsemuseum-stendaspark/,+353(0)14934208,Rathfarnham,53.282937738280204,-6.28158782209015,park
Phoenix Park Visitor Centre and Ashtown Castle,http://www.phoenixpark.ie,+353(0)16770095,Dublin City,53.366091000000004,-6.331008,park
Rathfarnham Castle,http://www.rathfarnhamcastle.ie,+353(0)14939462,Rathfarnham,53.298067,-6.283678,castle
Skerries Mills,http://www.skerriesmills.ie,+353(0)18495208,Fingal,53.57433100000001,-6.110148000000001,other
St Anne's Park and Rose Gardens,http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/st-annes-park,+353(0)18338898,Clontarf,53.3693,-6.17541,park
Blessington Street Basin (Dublin's Secret Garden),http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/blessington-street-basin,+353(0)16612369,Dublin City,53.3572226151365,-6.26969159790041,garden
Phoenix Park,http://www.phoenixpark.ie,+353(0)18213021,Dublin City,53.3557378487288,-6.315418378433349,park
Marlay Park,http://www.dlrcoco.ie/parks/marlay_information.html,+353(0)14937372,Rathfarnham,53.2767650453436,-6.27623737578847,park
Abbey Ireland & UK,http://www.abbey.ie,+353(0)16486100,Dublin City,53.344609682430104,-6.27682906018833,other
Buff Day Spa,http://www.thebuffdayspa.com,+353(0)16774624,Dublin City,53.340222999999995,-6.2612879999999995,spa
The Helix,http://www.thehelix.ie,+353(0)17007138,Glasnevin,53.386497999999996,-6.259217,other
AquaZone at  the National Aquatic Centre,http://www.nac.ie,+353(0)16464300,Blanchardstown,53.397004,-6.370179,other
Áras an Uachtaráin,http://www.president.ie/en,+353(0)16770095,Dublin City,53.36161800000001,-6.311431,other
Alpha College of English,http://www.alphacollege.com,+353(0)18747024,Dublin City,53.355208317031405,-6.26182401719665,english
Farmleigh House,http://www.farmleigh.ie,+353(0)18155900,Castleknock,53.365152,-6.359980999999999,house
Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194249,Dublin City,53.339374,-6.254129,other
St. Stephen's Green,http://www.heritageireland.ie/en/dublin/ststephensgreen/,+353(0)14757816,Dublin City Centre,53.3395626419277,-6.260346496047981,other
EF International Language Schools,http://www.ef-italia.it/pg/corsi-di-lingua/inglese/irlanda/,+353(0)16114220,Dublin City,53.334931999999995,-6.252871,school
Famine Memorial,,,Dublin City,53.347933,-6.2501940000000005,memorial
The Greenhouse,http://www.ecounesco.ie/,+353(0)16625491,Dublin City Centre,53.343615,-6.262036,house
Whelan's,http://www.whelanslive.com,+353(0)14780766,Dublin City,53.336617000000004,-6.265721,other
The Village,http://www.thevillagevenue.com,+353(0)14758555,Dublin City,53.336667776358794,-6.265787370749121,other
National Basketball Arena,http://www.arena.ie,+353(0)868388972,Tallaght,53.292364,-6.334469,other
National Library of Ireland,http://www.nli.ie,+353(0)16030259,Dublin City,53.34161999999999,-6.254541000000001,library
Leisureplex Stillorgan,http://www.leisureplex.ie,+353(0)12881656,Dublin City,53.289398999999996,-6.197433,other
Shackleton Outdoor Education Centre,http://www.colaistedhulaigh.ie,+353(0)18481400,Coolock,53.396804,-6.213115,other
Leisureplex Blanchardstown,http://www.leisureplex.ie,+353(0)18223030,Blanchardstown,53.391405000000006,-6.392785,other
Airfield Estate,http://www.airfield.ie,+353(0)19696666,Dundrum,53.2879548011902,-6.23517081747434,other
Blackrock Park,http://www.dlrcoco.ie/parks/blackrock.html,+353(0)12047275,Blackrock,53.3066,-6.19078,park
Brickfield Park,http://dublincity.ie/main-menu-services-culture-dublin-city-parks-visit-park/brickfield-park,+353(0)12222222,Drimnagh,53.3285,-6.305680000000001,park
Bushy Park,,+353(0)14900320,Terenure,53.301319522523094,-6.2927679692444,park
Eamonn Ceannt Park,http://www.sdcc.ie,+353(0)14540799,Crumlin,53.325658,-6.289724,park
Fairview Park,,+353(0)18336262,Clontarf,53.3629,-6.23555,park
Griffith Park,,+353(0)18373290,Drumcondra,53.370559946868,-6.261854712898849,park
Sean Walsh Memorial Park,http://www.sdublincoco.ie,+353(0)14149000,Tallaght,53.284433500581706,-6.369029612515759,memorial
Tolka Valley Park,,+353(0)18905629,Blanchardstown,53.394960519879106,-6.3841941158483495,park
Bernard Fagan Horse Drawn Carriages,http://www.horsedrawncarriagesdublin.com/,+353(0)868748691,Dublin City,53.349038201486394,-6.27732856041867,other
Clondalkin Sports And Leisure Centre,http://www.clondalkin.com,+353(0)14574858,Clondalkin,53.321899,-6.39904,sport
Leisureplex Coolock,http://www.leisureplex.ie,+353(0)18485722,Coolock,53.391653000000005,-6.192142,other
Howth Yacht Club Marina,,+353(0)18322141,Howth,53.388706000000006,-6.06771,club
Framework Gallery,http://www.theframeworkgallery.com,+353(0)12805756,Dun Laoghaire,53.289795,-6.130605,gallery
Green Gallery,http://www.greengallery.ie,+353(0)851988441,Dublin City Centre,53.339967,-6.262002,gallery
Green On Red Gallery,http://www.greenonredgallery.com,+353(0)872454282,Dublin City Centre,53.3501660435503,-6.2378709761047695,gallery
Guinness Gallery,http://www.guinnessgallery.com,+353(0)12897955,Foxrock,53.266725,-6.184356,gallery
Oriel Gallery,http://www.theoriel.com,+353(0)16763410,Dublin City Centre,53.341239,-6.251421,gallery
Origin Gallery,http://origingallery.wordpress.com/,+353(0)16629347,Dublin City,53.336472076452,-6.24941688591388,gallery
Original Print Gallery,http://www.originalprint.ie,+353(0)16773657,Dublin City Centre,53.345634999999994,-6.264056,gallery
Project Arts Centre,http://www.projectartscentre.ie,+353(0)8819613/14,Dublin City,53.34502,-6.266229,art
Portrane Beach,,+353(0)18400077,Portrane,53.496145118751,-6.11135202639758,beach
From Norsemen To Normans Historical Walking Tour,http://www.historicalinsights.ie,+353(0)876889412,Dublin City,53.3485699722169,-6.268577392716289,tour
James Joyce Walking Tour,http://www.jamesjoyce.ie,+353(0)18788547,Dublin City,53.354156999999994,-6.259988,tour
Coolock Swimming Pool,,+353(0)18477743,Coolock,53.395801,-6.213546,pool
Rathmines Swimming Pool,,+353(0)14961275,Dublin City,53.324812,-6.267618,pool
West Wood Clubs,,+353(0)18530353,Dublin City,53.363366000000006,-6.228802,club
Dun Laoghaire Rathdown Heritage Society,,+353(0)12806961ext238,Dún Laoghaire,53.292138,-6.13173,heritage
Berlitz Language Centre,http://berlitz-dublin.ie/foreign-language-courses/,+353(0)16449742,Dublin City,53.341729,-6.250585,other
DCU Language Services  -Dublin City University,http://www.english.dcu.ie,+353(0)17008443,Dublin City,53.385171,-6.258359,other
International Language Services,http://www.moyleparkelc.com/,+353(0)14675000,Clondalkin,53.320279000000006,-6.3973510000000005,other
Swan Training Institute,http://www.sti.ie,+353(0)16775252,Dublin City,53.342653000000006,-6.259398,other
ULearn English School Dublin,http://www.ulearnschool.com,+353(0)14751222,Dublin City,53.3365689864771,-6.26298466880803,school
Irish Language Courses,http://www.cnag.ie,+353(0)14757401,Dublin City,53.337138,-6.263192,other
Ireland The Living Heritage,http://www.ucd.ie/intsch,+353(0)14752004,Dublin City,53.336681000000006,-6.260125,heritage
Des Carty Traditional Music School,http://www.descartymusicschool.ie/,+353(0)14520611,Tallaght,53.27638733273871,-6.365483477169841,school
Bodhrán & Tin Whistle Tasters,http://www.newschool.ie,+353(0)14781884,Dublin City,53.3426655,-6.2646058999999905,other
Young European Strings School Of Music Faculty Of Teachers,http://www.youngeuropeanstrings.com,+353(0)14905263,Templeogue,53.300534,-6.313784,school
National College Of Art And Design,http://www.ncad.ie,+353(0)16364200,Dublin City,53.3409606029641,-6.25391656938314,art
Knockcree Gardens,http://www.dublingardens.com,+353(0)12955884,Carrickmines,53.2478,-6.18208,garden
Rathmichael Lodge,http://www.dublingardens.com/rathmichael_lodge.html,+353(0)12822203,Shankill,53.23178000000001,-6.135553,other
The Dillon Garden,http://www.dillongarden.com,+353(0)14971308,Ranelagh,53.3213057543533,-6.24706613491821,garden
Marlay Demesne,http://www.dlrcoco.ie/en/parks-outdoors/parks/marlay-park,+353(0)12054700,Rathfarnham,53.2796,-6.27569,other
Chester Beatty,http://www.chesterbeatty.ie,+353(0)14070750,Dublin City,53.342274463695496,-6.26747279877668,other
Pearse Street Library,http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-public-libraries-and-archive-locations-hours-19,+353(0)16744888,Dublin City,53.343092000000006,-6.245275,library
Dublin City Archives,http://dublincity.ie/main-menu-services-recreation-culture-dublin-city-public-libraries-and-archive-heritage-and-histo-39,+353(0)16744999,Dublin City,53.34313385416229,-6.2452012969589505,other
Royal Irish Academy,http://www.ria.ie,+353(0)16762570,Dublin City Centre,53.340716,-6.2580849999999995,academy
The Irish Architectural Archive,http://www.iarc.ie,+353(0)16633040,Dublin City Centre,53.338673,-6.246843,other
James Joyce House of the Dead,http://www.jamesjoycehouse.ie,,Dublin City Centre,53.34629,-6.282819,house
Ardgillan Castle and Victorian Gardens,http://www.ardgillancastle.ie/,+353(0)18492212,Balbriggan,53.586000000000006,-6.16,castle
Bullock Castle,http://www.dlrtourism.com,+353(0)12845066,Dalkey,53.285016000000006,-6.1086290000000005,castle
Findlater Church,,+353(0)18378600,Dublin City,53.35462,-6.263976,church
Freemasons Hall,http://freemason.ie/,+353(0)16795465,Dublin City,53.341080000000005,-6.255966,other
Kings Inns,http://www.kingsinns.ie,+353(0)18744840,Dublin City,53.352871420634095,-6.27164607261045,other
Malahide Castle and Gardens,http://www.malahidecastleandgardens.ie/,+353(0)18169538,Malahide,53.444904,-6.164625,castle
Newbridge House & Farm,http://www.newbridgehouseandfarm.com,+353(0)18436534,Donabate,53.486394,-6.167976,house
Eighty Two Merrion Square,,+353(0)16761173,Dublin City Centre,53.339313,-6.251328,other
O'Connell Bridge,,,Dublin City,53.347291659237,-6.25910708052674,other
Jameson Distillery Bow St.,http://www.jamesonwhiskey.com,+353(0)18072355,Smithfield Village,53.34837717299279,-6.277353384384691,other
Adelaide Road Presbyterian Church,http://www.adelaideroadchurch.ie,+353(0)12694944,Dublin City,53.332501,-6.258781,church
Royal Hospital Kilmainham,http://www.rhk.ie,+353(0)16129900,Kilmainham,53.343309,-6.29972,other
Swords Castle,,+353(0)18905629,Swords,53.459928000000005,-6.220338,castle
The Four Courts,http://www.courts.ie/,+353(0)18886000,Dublin City,53.345909999999996,-6.273526,other
Tours Of The Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194116,Dublin City,53.338393,-6.25366,tour
Geological Museum,http://www.tcd.ie/Geology/about/geologymuseum.php,+353(0)18961477,Dublin City Centre,53.34447900000001,-6.2612190000000005,museum
National Transport Museum of Ireland,http://www.nationaltransportmuseum.org,+353(0)18320427,Howth,53.38610500000001,-6.079401,sport
Arthur Griffith,http://www.visitdublin.com,+353(0)16057700,Merrion Street,53.340121999999994,-6.254251999999999,art
Arthur Wellesley Duke Of Wellington,http://www.visitdublin.com,+353(0)16057700,Dublin City,53.349086,-6.303230999999999,art
Charles Stewart Parnell,,,Dublin,53.353722999999995,-6.262251,art
Edmund Burke,http://www.visitdublin.com,+353(0)16057700,Dublin,53.34447900000001,-6.2612190000000005,other
Henry Grattan,http://www.visitdublin.com,+353(0)16057700,Dublin,53.34435,-6.260889,other
James Clarence Mangan,http://www.visitdublin.com,+353(0)16057700,Dublin,53.338457999999996,-6.259664,other
James Larkin,http://www.talkingstatuesdublin.ie/,,Dublin City,53.3490798104862,-6.25993770402146,other
Jeremiah O'Donovan Rossa,http://www.visitdublin.com,+353(0)16057700,Dublin,53.338446,-6.259703,other
Sphere With Sphere,,+353(0)16082320,Dublin City Centre,53.34447900000001,-6.2612190000000005,other
William Smith O'Brien Monument,http://www.visitdublin.com,+353(0)16057700,Dublin,53.348576,-6.259341,other
Swords Round Tower,http://www.fingaldublin.ie,+353(0)18400077,Swords,53.45813100000001,-6.219834,tower
Wood Quay,http://www.visitdublin.com/dublin-a-to-z/details/wood-quay/49834/,+353(0)14370969,Dublin City,53.343599,-6.26098,other
Arbour Hill Cemetery,http://www.heritageireland.ie/en/dublin/arbourhillcemetery/,+353(0)18213021,Stoneybatter,53.35108,-6.286436,other
Lusk Round Tower,http://www.heritageireland.ie,+353(0)18331618,Lusk,53.526025,-6.167107,tower
Angling Broad Meadow Water,,+,Swords,53.523529,-6.162203,other
Angling Tolka River,,,Mount Merrion,53.382791000000005,-6.312862,other
Fourknocks,http://www.knowth.com/fourknocks.htm,+353(0)18354722,Naul,53.5829197183035,-6.28453433525945,other
St. Catherine's Church,http://saintcatherines.ie/,+353(0)14735100,Dublin City,53.342907999999994,-6.281194,church
St Doulagh's Church,http://fingaldublin.ie/interior-pages/activities-attractions-amp-conference/castles-churches-and-towers/st-doulaghs-church/,+353(0)18400077,St Doolaghs,53.4154245464375,-6.17908588064574,church
The Black Church,http://www.visitdublin.com,+353(0)16057700,Dublin City,53.343599,-6.26098,church
St. Kevin's Oratory,,+353(0)18745441,Dublin 1,53.351092,-6.258805000000001,other
St. Werburgh's Church,,+353(0)14783710,Dublin City Centre,53.342932,-6.269412,church
The Mezz,http://www.facebook.com/mezzdublin/,+353(0)16707655,Dublin City,53.344689,-6.264697,other
Fibber Magee's,http://www.fibbermagees.ie,+353(0)18722575,Dublin City,53.352773,-6.260607,other
The Ha'Penny Laugh,,+353(0)16770616,Dublin City,53.345870999999995,-6.263344,other
Vicar Street,http://www.vicarstreet.com,+353(0)14546656,Dublin City,53.34265799999999,-6.2779419999999995,other
The Academy,http://www.theacademydublin.com,+353(0)18779999,Dublin City,53.347954,-6.261983,academy
Balbriggan Beach,,+353(0)18400077,Swords,53.6120165295749,-6.182411858744709,beach
Portmarnock - The Velvet Strand  Blue Flag Beach 2019,http://blueflagireland.org/velvet-strand-portmarnock-co-dublin/beach-description.654.html,,Portmarnock,53.4256058193956,-6.123452331952599,beach
Seapoint  Blue Flag Beach 2019,http://www.blueflagireland.org/,+353(0)12845066,Seapoint,53.297929,-6.163408,beach
Liffey Valley,,+353(0)18727777,Lucan,53.3541752280616,-6.39964680520295,other
Daniel O'Connell - Fidelity - O'Connell Monument,http://www.talkingstatuesdublin.ie/,,Dublin,53.3477032343793,-6.2593334343586,other
Isaac Butt,,,Dublin,53.34998,-6.253322,other
James Joyce,http://www.talkingstatuesdublin.ie/,+353(0)16057700,Dublin,53.3499183989187,-6.2597821981648805,other
Jonathan Swift,,+353(0)16057700,Dublin City Centre,53.344650080995905,-6.25918634320204,other
Molly Malone,,+353(0)16057700,Dublin 2,53.343739915711005,-6.260949959390009,other
Oscar Wilde,http://www.talkingstatuesdublin.ie/,,Dublin City,53.3408382372671,-6.25058375785829,other
Patrick Kavanagh,http://www.visitdublin.com,+353(0)16057700,Dublin City,53.343599,-6.26098,other
Gallery of Photography,http://www.galleryofphotography.ie,+353(0)16714654,Temple Bar,53.3448394225887,-6.26543333498762,gallery
Graphic Studio Gallery,http://www.graphicstudiodublin.com,+353(0)16798021,Temple Bar,53.34508100000001,-6.262355,gallery
Leisureplex Tallaght,http://www.leisureplex.ie,+353(0)14599411,Tallaght,53.286893000000006,-6.360474,other
Howth Castle,http://howthcastle.com/,+353(0)18396182,Howth,53.386538402362206,-6.07922528879146,castle
Irish Georgian Society,http://www.igs.ie,+353(0)16798675,Dublin 2,53.338964000000004,-6.250557,other
Irish Coaches 32CC,http://www.irishcoaches.ie,+353(0)18788898,Dublin City,53.347894,-6.2588989999999995,other
ISI - Ireland International Study Institute,http://www.studyinireland.ie,+353(0)18727888,Dublin City,53.347634,-6.269322,other
The Gorgeous Mask Historical Walking Tour Of Dublin,http://www.historicalinsights.ie,+353(0)18780227,Dublin City,53.348575,-6.268529,tour
Irish Film Institute,http://ifi.ie/archive,+353(0)16793477,Dublin City,53.344623999999996,-6.264943,other
Donabate Beach,http://www.blueflagireland.org/balcarrick-donabate/beach-description.627.html,+353(0)18400077,Donabate,53.4767443222642,-6.115920703755161,beach
Killiney Beach,http://www.blueflagireland.org/,+353(0)12845066,Killiney,53.2938491671484,-6.13491121089531,beach
CityJet,http://www.cityjet.com,+353(0)18700100,Dublin Airport,53.4273248526735,-6.24362337506715,other
Language and Leisure International,http://www.lal.ie,+353(0)12804586,Dún Laoghaire,53.28745,-6.13398,other
Atlas Language School,http://www.atlaslanguageschool.com,+353(0)14782845,Dublin City,53.3302742676101,-6.264600765945481,school
Dorset College,http://www.dorset-college.ie,+353(0)18306129,Dublin City,53.360877,-6.26061,other
Dublin Cultural Institute,http://www.dublinci.com,+353(0)18728470,Dublin City,53.347556999999995,-6.259839,other
Dublin International Foundation College,http://www.difc.ie,+353(0)14738120,Dublin City,53.331304,-6.278743,other
The English Academy,http://www.theenglishacademy.ie,+353(0)18726600,Dublin City,53.349959,-6.259932,academy
Artzone,http://www.artzone.ie,+353(0)14990614,Dublin City,53.31729300000001,-6.301149,art
Estonian Air,http://www.estonian-air.ee,+353(0)18444300,Dublin Airport,53.426983673863404,-6.2440839647683,other
Irish Ferries,http://www.irishferries.com,+353(0)1818300400,Dublin City,53.348895999999996,-6.20217,ferries
O'Reilly Theatre,http://www.oreillytheatre.com,+353(0)18586644,Dublin City,53.355509999999995,-6.262116000000001,theatre
Europcar,http://www.europcar.ie/dublinairport.html,+353(0)61206040,Dublin Airport,53.4271798651143,-6.243706858596849,other
CityJet Ltd,http://www.cityjet.com,+353(0)18700100,Swords,53.468536,-6.217287000000001,other
Premier Helicopters,http://www.premierhelicopters.ie,+353(0)18772630,Dublin City,53.355724,-6.219786,other
Star Air (Ireland) Ltd,,+353(0)18447973,Dublin Airport,53.4253,-6.22312,other
The Paul Kane Gallery,http://www.thepaulkanegallery.com,+353(0)876478423,Rathmines,53.322898561418505,-6.26751712182613,gallery
Ireland's Eye,,,Dublin,53.343599,-6.26098,other
The Chocolate Warehouse,http://www.chocolatewarehouse.ie/,+353(0)14500080,Walkinstown,53.314791712483206,-6.332108909919269,house
Railway Preservation Society Of Ireland,http://www.steamtrainsireland.com,+353(0)14800553,128-130 East Wall Road,53.282627000000005,-6.152749,other
Bleu Note Bar & Club,,+353(0)18783371,Dublin City,53.34975,-6.2690790000000005,bar
Dublin Airport,,,Dublin Airport,53.42528711599421,-6.236329078674309,other
Irelandhotels.com,http://www.irelandhotels.com,1890876769,Dublin City,53.328715,-6.2553019999999995,hotel
Authentic Ireland,http://www.authenticireland.com,+353(0)12933088,Sandyford,53.2755896475813,-6.215997059677759,other
